-40	-40	-45	-50	-50	-45	-40	-40
-30	-30	-35	-40	-40	-35	-30	-30
-15	-15	-17	-20	-20	-17	-15	-15
-10	-10	-11	-13	-13	-11	-10	-10
-4	-4	-6	-9	-9	-6	-4	-4
0	0	-1	-2	-2	-1	0	0
3	3	2	-1	-1	2	3	3
4	4	2	0	0	2	4	4
