-80	-80	-80	-80	-80	-80	-80	-80
-65	-65	-65	-65	-65	-65	-65	-65
-50	-50	-50	-50	-50	-50	-50	-50
-35	-35	-35	-35	-35	-35	-35	-35
-30	-30	-30	-30	-30	-30	-30	-30
-20	-20	-20	-20	-20	-20	-20	-20
-5	-5	-6	-7	-7	-6	-5	-5
15	15	14	12	12	13	15	15
